Filepath,transit_time
/data/LASCO_C2_FITS/ICME_009_19970830_013000_22020044.fts,97
/data/LASCO_C2_FITS/ICME_009_19970830_013000_22020045.fts,97
/data/LASCO_C2_FITS/ICME_009_19970830_013000_22020046.fts,97
/data/LASCO_C2_FITS/ICME_009_19970830_013000_22020043.fts,97
/data/LASCO_C2_FITS/ICME_010_19970917_202800_22020862.fts,94
/data/LASCO_C2_FITS/ICME_010_19970917_202800_22020861.fts,94
/data/LASCO_C2_FITS/ICME_010_19970917_202800_22020864.fts,94
/data/LASCO_C2_FITS/ICME_010_19970917_202800_22020863.fts,94
/data/LASCO_C2_FITS/ICME_011_19970928_010800_22021221.fts,71
/data/LASCO_C2_FITS/ICME_011_19970928_010800_22021219.fts,71
/data/LASCO_C2_FITS/ICME_012_19971006_152800_22021662.fts,96
/data/LASCO_C2_FITS/ICME_012_19971006_152800_22021664.fts,96
/data/LASCO_C2_FITS/ICME_012_19971006_152800_22021663.fts,96
/data/LASCO_C2_FITS/ICME_013_19971021_012700_22022414.fts,54
/data/LASCO_C2_FITS/ICME_013_19971021_012700_22022412.fts,54
/data/LASCO_C2_FITS/ICME_015_19971104_061000_22023947.fts,64
/data/LASCO_C2_FITS/ICME_015_19971104_061000_22023945.fts,64
/data/LASCO_C2_FITS/ICME_015_19971104_061000_22023944.fts,64
/data/LASCO_C2_FITS/ICME_015_19971104_061000_22023946.fts,64
/data/LASCO_C2_FITS/ICME_016_19971206_102700_22025658.fts,90
/data/LASCO_C2_FITS/ICME_016_19971206_102700_22025659.fts,90
/data/LASCO_C2_FITS/ICME_016_19971206_102700_22025657.fts,90
/data/LASCO_C2_FITS/ICME_016_19971206_102700_22025660.fts,90
/data/LASCO_C2_FITS/ICME_017_19971226_023100_22026496.fts,95
/data/LASCO_C2_FITS/ICME_017_19971226_023100_22026500.fts,95
/data/LASCO_C2_FITS/ICME_018_19980102_232800_22027048.fts,86
/data/LASCO_C2_FITS/ICME_018_19980102_232800_22027047.fts,86
/data/LASCO_C2_FITS/ICME_019_19980117_040900_22027807.fts,94
/data/LASCO_C2_FITS/ICME_019_19980117_040900_22027812.fts,94
/data/LASCO_C2_FITS/ICME_019_19980117_040900_22027808.fts,94
/data/LASCO_C2_FITS/ICME_019_19980117_040900_22027811.fts,94
/data/LASCO_C2_FITS/ICME_019_19980117_040900_22027809.fts,94
/data/LASCO_C2_FITS/ICME_019_19980117_040900_22027810.fts,94
/data/LASCO_C2_FITS/ICME_020_19980121_063700_22028025.fts,71
/data/LASCO_C2_FITS/ICME_020_19980121_063700_22028027.fts,71
/data/LASCO_C2_FITS/ICME_020_19980121_063700_22028023.fts,71
/data/LASCO_C2_FITS/ICME_020_19980121_063700_22028024.fts,71
/data/LASCO_C2_FITS/ICME_020_19980121_063700_22028026.fts,71
/data/LASCO_C2_FITS/ICME_021_19980125_152600_22028151.fts,72
/data/LASCO_C2_FITS/ICME_021_19980125_152600_22028154.fts,72
/data/LASCO_C2_FITS/ICME_021_19980125_152600_22028153.fts,72
/data/LASCO_C2_FITS/ICME_021_19980125_152600_22028150.fts,72
/data/LASCO_C2_FITS/ICME_021_19980125_152600_22028152.fts,72
/data/LASCO_C2_FITS/ICME_022_19980214_065500_22029562.fts,69
/data/LASCO_C2_FITS/ICME_022_19980214_065500_22029560.fts,69
/data/LASCO_C2_FITS/ICME_022_19980214_065500_22029561.fts,69
/data/LASCO_C2_FITS/ICME_022_19980214_065500_22029559.fts,69
/data/LASCO_C2_FITS/ICME_023_19980228_124800_22030360.fts,94
/data/LASCO_C2_FITS/ICME_023_19980228_124800_22030359.fts,94
/data/LASCO_C2_FITS/ICME_024_19980420_100700_22032664.fts,79
/data/LASCO_C2_FITS/ICME_024_19980420_100700_22032661.fts,79
/data/LASCO_C2_FITS/ICME_024_19980420_100700_22032662.fts,79
/data/LASCO_C2_FITS/ICME_024_19980420_100700_22032665.fts,79
/data/LASCO_C2_FITS/ICME_024_19980420_100700_22032663.fts,79
/data/LASCO_C2_FITS/ICME_025_19980427_085600_22033034.fts,71
/data/LASCO_C2_FITS/ICME_026_19980429_165800_22033169.fts,52
/data/LASCO_C2_FITS/ICME_027_19980501_234000_22033254.fts,41
/data/LASCO_C2_FITS/ICME_028_19980502_140600_22033282.fts,36
/data/LASCO_C2_FITS/ICME_028_19980502_140600_22033284.fts,36
/data/LASCO_C2_FITS/ICME_028_19980502_140600_22033280.fts,36
/data/LASCO_C2_FITS/ICME_028_19980502_140600_22033285.fts,36
/data/LASCO_C2_FITS/ICME_029_19980512_085500_22033881.fts,77
/data/LASCO_C2_FITS/ICME_029_19980512_085500_22033879.fts,77
/data/LASCO_C2_FITS/ICME_029_19980512_085500_22033878.fts,77
/data/LASCO_C2_FITS/ICME_029_19980512_085500_22033880.fts,77
/data/LASCO_C2_FITS/ICME_030_19980527_134600_22034653.fts,49
/data/LASCO_C2_FITS/ICME_030_19980527_134600_22034654.fts,49
/data/LASCO_C2_FITS/ICME_030_19980527_134600_22034655.fts,49
/data/LASCO_C2_FITS/ICME_030_19980527_134600_22034656.fts,49
/data/LASCO_C2_FITS/ICME_032_19980622_073400_22036341.fts,80
/data/LASCO_C2_FITS/ICME_032_19980622_073400_22036336.fts,80
/data/LASCO_C2_FITS/ICME_035_19981105_204400_22037669.fts,55
/data/LASCO_C2_FITS/ICME_035_19981105_204400_22037667.fts,55
/data/LASCO_C2_FITS/ICME_035_19981105_204400_22037665.fts,55
/data/LASCO_C2_FITS/ICME_036_19981108_115400_22037805.fts,90
/data/LASCO_C2_FITS/ICME_036_19981108_115400_22037807.fts,90
/data/LASCO_C2_FITS/ICME_036_19981108_115400_22037806.fts,90
/data/LASCO_C2_FITS/ICME_036_19981108_115400_22037804.fts,90
/data/LASCO_C2_FITS/ICME_037_19981109_181800_22037881.fts,78
/data/LASCO_C2_FITS/ICME_037_19981109_181800_22037884.fts,78
/data/LASCO_C2_FITS/ICME_037_19981109_181800_22037883.fts,78
/data/LASCO_C2_FITS/ICME_037_19981109_181800_22037882.fts,78
/data/LASCO_C2_FITS/ICME_038_19990307_032600_22040466.fts,69
/data/LASCO_C2_FITS/ICME_038_19990307_032600_22040464.fts,69
/data/LASCO_C2_FITS/ICME_038_19990307_032600_22040465.fts,69
/data/LASCO_C2_FITS/ICME_038_19990307_032600_22040463.fts,69
/data/LASCO_C2_FITS/ICME_039_19990413_033000_22042680.fts,79
/data/LASCO_C2_FITS/ICME_039_19990413_033000_22042682.fts,79
/data/LASCO_C2_FITS/ICME_039_19990413_033000_22042678.fts,79
/data/LASCO_C2_FITS/ICME_039_19990413_033000_22042681.fts,79
/data/LASCO_C2_FITS/ICME_039_19990413_033000_22042679.fts,79
/data/LASCO_C2_FITS/ICME_040_19990418_083000_22043011.fts,55
/data/LASCO_C2_FITS/ICME_040_19990418_083000_22043009.fts,55
/data/LASCO_C2_FITS/ICME_040_19990418_083000_22043008.fts,55
/data/LASCO_C2_FITS/ICME_040_19990418_083000_22043007.fts,55
/data/LASCO_C2_FITS/ICME_040_19990418_083000_22043010.fts,55
/data/LASCO_C2_FITS/ICME_041_19990503_060600_22043948.fts,56
/data/LASCO_C2_FITS/ICME_041_19990503_060600_22043949.fts,56
/data/LASCO_C2_FITS/ICME_042_19990622_185400_22047314.fts,79
/data/LASCO_C2_FITS/ICME_042_19990622_185400_22047315.fts,79
/data/LASCO_C2_FITS/ICME_042_19990622_185400_22047317.fts,79
/data/LASCO_C2_FITS/ICME_043_19990624_133100_22047424.fts,53
/data/LASCO_C2_FITS/ICME_043_19990624_133100_22047423.fts,53
/data/LASCO_C2_FITS/ICME_043_19990624_133100_22047421.fts,53
/data/LASCO_C2_FITS/ICME_043_19990624_133100_22047425.fts,53
/data/LASCO_C2_FITS/ICME_043_19990624_133100_22047422.fts,53
/data/LASCO_C2_FITS/ICME_043_19990624_133100_22047419.fts,53
/data/LASCO_C2_FITS/ICME_043_19990624_133100_22047420.fts,53
/data/LASCO_C2_FITS/ICME_044_19990629_195400_22047781.fts,52
/data/LASCO_C2_FITS/ICME_044_19990629_195400_22047780.fts,52
/data/LASCO_C2_FITS/ICME_044_19990629_195400_22047776.fts,52
